"tour_id";"activity_id"
1;1
2;1
3;1
4;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;2
16;2
21;2
23;2
24;2
25;2
26;2
27;2
28;2
29;2
30;2
31;2
32;2
33;2
34;2
35;2
36;2
37;2
38;2
19;37
16;37
28;37
30;37
39;37
23;37
21;37
40;37
40;37
28;37
31;37
41;37
32;37
34;37
38;37
37;37
42;38
43;38
44;38
40;38
45;38
46;38
16;39
47;39
48;39
44;39
49;40
50;40
51;40
52;40
